Time (years),sun Energy (J),mercury Energy (J),venus Energy (J),earth Energy (J),mars Energy (J),jupiter Energy (J),saturn Energy (J),uranus Energy (J),neptune Energy (J),System Total (J)
8.9,-3.906590297982213e+35,-1.2210951606680389e+32,-1.6045728223007857e+33,-1.819817986942782e+33,-1.637648389074637e+32,-1.6179019625736142e+35,-2.6702761385442803e+34,-1.942892924794482e+33,-1.5037627963846894e+33,-5.863089083264225e+35
9.0,-3.906115945849358e+35,-1.2162216244589738e+32,-1.599389132642968e+33,-1.8158121530151e+33,-1.6358187815702575e+32,-1.617598590304426e+35,-2.670458373691403e+34,-1.942915858684916e+33,-1.5037680900175892e+33,-5.862231266272559e+35
9.1,-3.905517845008781e+35,-1.2120834590646615e+32,-1.5944765253269652e+33,-1.8116385286421766e+33,-1.6341022253776372e+32,-1.6172971738515103e+35,-2.6706361919125756e+34,-1.9429394532360476e+33,-1.503773970179538e+33,-5.861253108509839e+35
9.200000000000001,-3.904825002386739e+35,-1.208481825567008e+32,-1.5898118652058617e+33,-1.8072763556580057e+33,-1.6324475697253988e+32,-1.6169983175215124e+35,-2.6708093292251445e+34,-1.9429638215722913e+33,-1.5037804834241928e+33,-5.860183507484662e+35
9.3,-3.904079256570319e+35,-1.2052159601296449e+32,-1.5853430077493482e+33,-1.8027322711944515e+33,-1.630801829876141e+32,-1.6167025873473625e+35,-2.670977533576018e+34,-1.9429890813330784e+33,-1.5037876733397702e+33,-5.859064135401455e+35
9.4,-3.903331921771009e+35,-1.2021273689055528e+32,-1.5810006382059647e+33,-1.798036190173661e+33,-1.6291377130204163e+32,-1.6164104489616263e+35,-2.6711406640880252e+34,-1.9430153472066424e+33,-1.5037955790741414e+33,-5.857946179769968e+35
9.5,-3.902635902563325e+35,-1.199094417054027e+32,-1.5767155834185526e+33,-1.7932357314224687e+33,-1.627429921622206e+32,-1.6161222533945002e+35,-2.671298664332608e+34,-1.9430427310325296e+33,-1.5038042354942334e+33,-5.85688252954344e+35
9.6,-3.902036760864693e+35,-1.1960148433149526e+32,-1.572431010695624e+33,-1.788388259571125e+33,-1.6256501765701477e+32,-1.6158383753347641e+35,-2.671451478336472e+34,-1.943071345201968e+33,-1.5038136735754145e+33,-5.85591899194343e+35
9.700000000000001,-3.901566229526774e+35,-1.1927894852581546e+32,-1.5681072617068577e+33,-1.783551935447163e+33,-1.6237763087743733e+32,-1.6155594234164478e+35,-2.6715990133064494e+34,-1.9431013042784406e+33,-1.5038239201002818e+33,-5.855087964283227e+35
9.8,-3.901238951366931e+35,-1.189310109205865e+32,-1.5637219140103064e+33,-1.7787804291926505e+33,-1.6217951479138456e+32,-1.615286213937239e+35,-2.671741155481303e+34,-1.9431327232363476e+33,-1.5038349968543112e+33,-5.854405086742357e+35
9.9,-3.9010512976388576e+35,-1.1854563425403812e+32,-1.559267626989898e+33,-1.7741213044401415e+33,-1.6197026663818569e+32,-1.6150194920071642e+35,-2.6718777995978267e+34,-1.943165714079686e+33,-1.503846920095526e+33,-5.8538677442707795e+35
